code,prefname,name,url,stat2015_total,stat2015_dencity,stat2015_ave_age,stat2015_mean_age,stat2015_under15,stat2015_15to64,stat2015_over65,stat2015_per15,stat2015_per15to64,stat2015_per65
24202,三重県,三重県四日市市,http://www5.city.yokkaichi.mie.jp/www/genre/1487307955678/index.html,311031,"1,506.6",45.1,45.2,41253,189755,75660,13.45200673,61.87636141,24.67163186
24203,三重県,三重県伊勢市,http://www.city.ise.mie.jp/14504.htm,127817,613.5,47.8,49.2,15880,73987,37432,12.47456775,58.1206451,29.40478715
24205,三重県,三重県桑名市,http://www.opendata.city.kuwana.lg.jp,140303,"1,026.5",45.2,45.5,19309,84198,34590,13.98220092,60.97018762,25.04761146
24214,三重県,三重県いなべ市,http://www.city.inabe.mie.jp/opendata/index.html,45815,208.4,45.7,45.9,5856,27858,11575,12.93029212,61.51162534,25.55808254
24215,三重県,三重県志摩市,https://www.city.shima.mie.jp/opendate/index.html,50341,281.3,52.8,56.6,4941,26335,18648,9.897043506,52.75018027,37.35277622
25201,滋賀県,滋賀県大津市,http://www.city.otsu.lg.jp/opendata/,340973,734.0,44.9,45.3,47815,207110,83118,14.14465024,61.26735356,24.5879962
25203,滋賀県,滋賀県長浜市,http://www.city.nagahama.lg.jp/0000000798.html,118193,173.6,46.1,46.4,16132,68787,31244,13.88738239,59.21592934,26.89668827
25206,滋賀県,滋賀県草津市,https://kusatsu.geocloud.jp/webgis/Resource/OpenData/index.html,137247,"2,023.7",41.7,41,19741,87537,26879,14.71484902,65.24967016,20.03548082
25209,滋賀県,滋賀県甲賀市,http://www.city.koka.lg.jp/opendata/,90901,188.7,45.7,46.1,12503,54758,23205,13.82066191,60.52881746,25.65052064
26100,京都府,京都府京都市,https://data.city.kyoto.lg.jp/,1475183,"1,782.0",45.9,45.6,162141,886422,381132,11.34095034,62.00077639,26.65827327
27100,大阪府,大阪府大阪市,https://data.city.osaka.lg.jp/,2691185,"11,949.7",45.8,45.2,295298,1682798,668698,11.1568184,63.57872959,25.26445201
27140,大阪府,大阪府堺市,http://www.city.sakai.lg.jp/shisei/gyosei/open_data/index.html,839310,"5,602.1",45.8,45.8,112964,495966,224064,13.56120212,59.54016476,26.89863312
27206,大阪府,大阪府泉大津市,http://www.city.izumiotsu.lg.jp/kakuka/somu/somu/johosystem/opendata/1456451820235.html,75897,"5,303.8",44.3,44.6,10541,47014,18005,13.95050291,62.22075172,23.82874537
27207,大阪府,大阪府高槻市,http://www.city.takatsuki.osaka.jp/kakuka/soumu/itseisak/gyomuannai/opendata/opendata.html,351829,"3,341.5",46.3,46.3,45483,206532,96684,13.04362789,59.22930665,27.72706546
27210,大阪府,大阪府枚方市,https://www.city.hirakata.osaka.jp/site/opendata/,404152,"6,206.3",46,46.6,51925,233387,105394,13.29004418,59.73468542,26.97527041
27211,大阪府,大阪府茨木市,http://www.city.ibaraki.osaka.jp/opendata/opendata.html,280033,"3,661.0",43.9,43.8,40576,171442,64953,14.6499092,61.89889916,23.45119164
27214,大阪府,大阪府富田林市,http://www.city.tondabayashi.osaka.jp/map/1050/download.html,113984,"2,869.7",46.5,47.8,13698,69034,30821,12.06308948,60.79451886,27.14239166
28100,兵庫県,兵庫県神戸市,https://data.city.kobe.lg.jp/,1537272,"2,759.8",46.6,47,185084,921967,411427,12.18878377,60.71652009,27.09469614
28201,兵庫県,兵庫県姫路市,http://www.city.himeji.lg.jp/s20/2212162/_35926.html,535664,"1,002.2",45,45.2,75155,324094,134671,14.07607881,60.70085406,25.22306713
28202,兵庫県,兵庫県尼崎市,http://data.city.amagasaki.hyogo.jp/,452563,"8,922.8",47,47.2,50036,265526,121155,11.4573053,60.80047262,27.74222208
28204,兵庫県,兵庫県西宮市,http://opendata.nishi.or.jp/opendata/Menu.aspx,487850,"4,880.5",44.4,44.7,66025,293369,109205,14.08987215,62.605554,23.30457385
28206,兵庫県,兵庫県芦屋市,http://www.city.ashiya.lg.jp/jouhou/opendata.html,95350,"5,162.4",47.1,47.9,12518,56130,25943,13.23381717,59.33968348,27.42649935
28210,兵庫県,兵庫県加古川市,https://www.opendata-kakogawa.jp,267435,"1,931.2",45.1,45.2,36724,163163,66824,13.76921087,61.1759545,25.05483463
28214,兵庫県,兵庫県宝塚市,http://www.city.takarazuka.hyogo.jp/1014984/index.html,224903,"2,209.3",46.5,47.1,29691,130976,59733,13.47141561,59.42649728,27.10208711
